"filename", "language", "PHP", "Markdown", "JSON", "CSS", "JavaScript", "XML", "SCSS", "HTML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.brighttheme.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.buttons.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.buttons.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.callbacks.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.confirm.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.desktop.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.history.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.history.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 1, 32
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.material.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.mobile.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.mobile.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.nonblock.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.nonblock.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.reference.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.tooltip.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\libtests\browserify\index.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 5, 26
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\dropways\dropways.css", "CSS", 0, 0, 0, 4162, 0, 0, 0, 0, 0, 2, 4, 4168
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\dropways\dropways.svg", "XML", 0, 0, 0, 0, 0, 1390, 0, 0, 0, 0, 0, 1390
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\font-awesome\css\font-awesome.css", "CSS", 0, 0, 0, 2327, 0, 0, 0, 0, 0, 10, 1, 2338
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\font-awesome\css\font-awesome.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 1, 5
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\font-awesome\fonts\fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 0, 2671, 0, 0, 0, 0, 1, 2672
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\foundation-icons\foundation-icons.css", "CSS", 0, 0, 0, 586, 0, 0, 0, 0, 0, 5, 4, 595
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\foundation-icons\foundation-icons.svg", "XML", 0, 0, 0, 0, 0, 967, 0, 0, 0, 3, 1, 971
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\ionicons-master\css\ionicons.css", "CSS", 0, 0, 0, 736, 0, 0, 0, 0, 0, 11, 734, 1481
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\ionicons-master\css\ionicons.min.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 0, 0, 9, 1, 12
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\ionicons-master\fonts\ionicons.svg", "XML", 0, 0, 0, 0, 0, 2227, 0, 0, 0, 3, 1, 2231
